[container_monitor] pf-swap-2: cgroup path = /sys/fs/cgroup/system.slice/docker-305f04be379b999c32cd913042d59853b6b11dcb101c1bc3e7d42a7210cbed91.scope
[container_monitor] pf-swap-2: current=80.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=135851 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=88.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=142572 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=88.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=143499 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=88.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=144652 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=88.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=145655 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=104.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=169777 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=104.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=170520 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=104.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=171391 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=104.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=172220 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=104.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=176092 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=104.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=176653 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=104.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=177636 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=104.6MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=178274 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=120.8MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=194923 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=120.8MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=195670 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=120.8MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=196682 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
[container_monitor] pf-swap-2: current=120.8MiB swap=0.0MiB max=256.0MiB cpu.usage_usec=197604 method=swap_current_delta_fallback detail={'delta_swap_current': 0, 'swap_saturated': False, 'workingset_refault_anon': 0} events={'low': 0, 'high': 0, 'max': 0, 'oom': 0, 'oom_kill': 0, 'oom_group_kill': 0}
