설정: CHUNK_SIZE_MB=8, INTERVAL_SECONDS=2, MAX_ALLOCATION_MB=1024
[2026-09-18 04:58:45.943] 할당 #42 | +8MiB | 누적 336MiB | alloc_fill=5.281ms | JVM used=341MiB committed=758MiB max=1160MiB
[2026-09-18 04:58:47.951] 할당 #43 | +8MiB | 누적 344MiB | alloc_fill=6.239ms | JVM used=349MiB committed=758MiB max=1160MiB
[2026-09-18 04:58:49.962] 할당 #44 | +8MiB | 누적 352MiB | alloc_fill=9.187ms | JVM used=357MiB committed=758MiB max=1160MiB
[2026-09-18 04:58:51.971] 할당 #45 | +8MiB | 누적 360MiB | alloc_fill=5.642ms | JVM used=365MiB committed=758MiB max=1160MiB
[2026-09-18 04:58:53.980] 할당 #46 | +8MiB | 누적 368MiB | alloc_fill=5.583ms | JVM used=373MiB committed=758MiB max=1160MiB
[2026-09-18 04:58:55.983] 할당 #47 | +8MiB | 누적 376MiB | alloc_fill=1.404ms | JVM used=381MiB committed=758MiB max=1160MiB
[2026-09-18 04:58:57.990] 할당 #48 | +8MiB | 누적 384MiB | alloc_fill=5.335ms | JVM used=389MiB committed=758MiB max=1160MiB
[2026-09-18 04:58:59.997] 할당 #49 | +8MiB | 누적 392MiB | alloc_fill=3.914ms | JVM used=397MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:02.003] 할당 #50 | +8MiB | 누적 400MiB | alloc_fill=4.013ms | JVM used=405MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:04.013] 할당 #51 | +8MiB | 누적 408MiB | alloc_fill=6.793ms | JVM used=413MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:06.020] 할당 #52 | +8MiB | 누적 416MiB | alloc_fill=3.293ms | JVM used=421MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:08.027] 할당 #53 | +8MiB | 누적 424MiB | alloc_fill=4.479ms | JVM used=429MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:10.035] 할당 #54 | +8MiB | 누적 432MiB | alloc_fill=5.625ms | JVM used=437MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:12.045] 할당 #55 | +8MiB | 누적 440MiB | alloc_fill=8.356ms | JVM used=445MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:14.057] 할당 #56 | +8MiB | 누적 448MiB | alloc_fill=8.710ms | JVM used=453MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:16.064] 할당 #57 | +8MiB | 누적 456MiB | alloc_fill=4.122ms | JVM used=461MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:18.074] 할당 #58 | +8MiB | 누적 464MiB | alloc_fill=9.254ms | JVM used=469MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:20.088] 할당 #59 | +8MiB | 누적 472MiB | alloc_fill=8.959ms | JVM used=477MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:22.101] 할당 #60 | +8MiB | 누적 480MiB | alloc_fill=10.757ms | JVM used=485MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:24.109] 할당 #61 | +8MiB | 누적 488MiB | alloc_fill=6.081ms | JVM used=495MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:26.113] 할당 #62 | +8MiB | 누적 496MiB | alloc_fill=3.030ms | JVM used=503MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:28.124] 할당 #63 | +8MiB | 누적 504MiB | alloc_fill=10.119ms | JVM used=511MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:30.144] 할당 #64 | +8MiB | 누적 512MiB | alloc_fill=16.719ms | JVM used=519MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:32.476] 할당 #65 | +8MiB | 누적 520MiB | alloc_fill=328.926ms | JVM used=521MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:34.490] 할당 #66 | +8MiB | 누적 528MiB | alloc_fill=11.729ms | JVM used=533MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:36.498] 할당 #67 | +8MiB | 누적 536MiB | alloc_fill=7.074ms | JVM used=541MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:38.504] 할당 #68 | +8MiB | 누적 544MiB | alloc_fill=5.213ms | JVM used=549MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:40.512] 할당 #69 | +8MiB | 누적 552MiB | alloc_fill=6.523ms | JVM used=557MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:42.523] 할당 #70 | +8MiB | 누적 560MiB | alloc_fill=8.497ms | JVM used=565MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:44.531] 할당 #71 | +8MiB | 누적 568MiB | alloc_fill=5.978ms | JVM used=573MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:46.546] 할당 #72 | +8MiB | 누적 576MiB | alloc_fill=9.049ms | JVM used=581MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:48.551] 할당 #73 | +8MiB | 누적 584MiB | alloc_fill=4.786ms | JVM used=589MiB committed=758MiB max=1160MiB
[2026-09-18 04:59:50.558] 할당 #74 | +8MiB | 누적 592MiB | alloc_fill=5.022ms | JVM used=597MiB committed=758MiB max=1160MiB
